seed,split_type,feature,model_name,train_mse,train_rmse,train_mae,train_r2,val_mse,val_rmse,val_mae,val_r2,test_mse,test_rmse,test_mae,test_r2
1,scaffold,descriptors_basic,rf_reg,0.040488635548962953,0.2012178807883707,0.14124744510228346,0.930388077088093,0.30825185164248664,0.5552043332346089,0.43887772023809524,0.3866069470661845,0.2582865603711321,0.508219008274122,0.38962495299145283,0.591555020772951
1,scaffold,descriptors_basic,xgb_reg,0.0026725395559288527,0.05169661068125117,0.008223109720848323,0.9954051151632076,0.35116207151968115,0.5925892941318474,0.4438626451151794,0.30121952560452603,0.26309352203765135,0.5129264294590905,0.361506820669732,0.5839534663010284
1,scaffold,maccs,rf_reg,0.03723068470571443,0.19295254521698965,0.1356145162325049,0.9359894568302366,0.3925863661404298,0.6265671281997084,0.4757991999555996,0.21878895979394042,0.27856171913454414,0.5277894647816913,0.40869584074259074,0.5594926215987641
1,scaffold,maccs,xgb_reg,0.004585683004693943,0.0677176712881796,0.02018800740137405,0.9921158565238593,0.48009475470212754,0.6928887029690465,0.5245508977566787,0.04465525279050775,0.29782960124665386,0.545737667058683,0.4169137861713384,0.5290230931117934
1,scaffold,descriptors_basic,lgbm_reg,0.0037205085752251145,0.060995971795071144,0.023089185169525937,0.9936033468991945,0.34534014367055155,0.5876564844112175,0.444047815803323,0.31280463070060116,0.30210509176266553,0.549640875265537,0.3824673883488257,0.5222619878011316
1,scaffold,morgan,svm_reg,0.0644939922659916,0.25395667399379684,0.1576262193204912,0.8891157788591785,0.3178666999474703,0.5637966831646585,0.436257184070988,0.36747427641436425,0.3021850555641873,0.549713612314801,0.4177797431987489,0.5221355359516644
1,scaffold,morgan,lgbm_reg,0.008886774018909848,0.0942696876992273,0.05384444066207638,0.9847210107341902,0.4015354063020145,0.633668214684952,0.4621501045514663,0.2009811865841682,0.3027379785785828,0.5502163016292618,0.4209069894567142,0.5212611635925125
3,scaffold,maccs,xgb_reg,0.005283883226699785,0.07269032416147135,0.018427245124185636,0.9911736408774021,0.2539191213420254,0.5039038810547358,0.35681388246844403,0.41456019559674595,0.3489866360726319,0.59075090865155,0.3780168416662447,0.5162954512998061
1,scaffold,maccs,lgbm_reg,0.0069001068977633554,0.08306688207561035,0.041343195205929203,0.9881366782817327,0.4424344593964381,0.6651574696238765,0.5263553912877739,0.11959580347611443,0.3068000424696924,0.5538953353023407,0.43513818619792216,0.5148375633895472
1,scaffold,morgan,xgb_reg,0.007727085316898179,0.0879038413091156,0.05730922411264803,0.9867148581294333,0.4075202899020855,0.6383731588202041,0.4692603095755913,0.18907181441546872,0.30907665238482845,0.5559466272807386,0.42554129626410886,0.5112374152124228
3,scaffold,maccs,lgbm_reg,0.0077716231754366445,0.08815681014780789,0.04074619436147098,0.9870180444629638,0.26833412879693164,0.5180097767387519,0.3780084872879238,0.38132473424090585,0.3559887311686945,0.596647912230232,0.40369400988697723,0.5065903654933346
3,scaffold,maccs,rf_reg,0.04065890220212395,0.20164052718172493,0.14302083725277992,0.9320821341105461,0.23317692900747863,0.4828839705431095,0.33180667607340236,0.46238371104942777,0.3679594210018298,0.6065965883532728,0.42460330928689866,0.4899986782341077
1,scaffold,morgan,rf_reg,0.042682217051644045,0.2065967498574071,0.14725477507890217,0.9266166626060969,0.33910385105747665,0.5823262410861085,0.41879356835317455,0.3252142838609632,0.32690575073127004,0.5717567233809061,0.4337171663614164,0.48304312708033614
3,scaffold,maccs,svm_reg,0.12338475637370624,0.35126166368350853,0.2290865121214829,0.793894353208716,0.25963649005360273,0.5095453758534196,0.3631555493541763,0.40137814297102625,0.37490430969611493,0.6122942999049681,0.4453771666195352,0.4803728819874482
3,scaffold,descriptors_basic,rf_reg,0.04284208256377421,0.20698329054243536,0.14939958238901627,0.9284352832861452,0.23080065098629346,0.4804171635009447,0.35970626964160907,0.46786249394918633,0.37516925685170854,0.6125106177460996,0.43196132835820883,0.4800056583431046
3,scaffold,descriptors_basic,xgb_reg,0.0039482038529445995,0.06283473444636016,0.009267271698957835,0.9934048002955056,0.2558956840202887,0.5058613288444658,0.3791268463274054,0.41000300249668564,0.3760739957035284,0.6132487225453702,0.3896544060929775,0.4787516667778804
2,scaffold,maccs,ridge,0.22756707061383447,0.4770399046346484,0.37317079182908347,0.617516967000433,0.4298251944358991,0.6556105508881771,0.5166868727926637,0.17199487386525636,0.2718105916417343,0.5213545738187537,0.42393785748238627,0.4649777881008267
1,scaffold,maccs,svm_reg,0.10907198583796827,0.33026048179878903,0.21331319888585928,0.812473041705261,0.36417436973651157,0.6034686153699391,0.47570124074932424,0.2753262396879046,0.3392226835701456,0.5824282647418012,0.45770906088802266,0.46356557714399105
4,scaffold,descriptors_basic,xgb_reg,0.0026821199753028577,0.05178918782239067,0.008635212071608597,0.9952166405474097,0.41935917108563453,0.6475794708648773,0.49045766680319186,0.36514566942711846,0.3483957849400648,0.5902506119777131,0.4002590647496982,0.4621595165691039
3,scaffold,morgan,svm_reg,0.06981911637736772,0.26423307207344,0.16413724153395443,0.8833720261539546,0.2721937807467548,0.5217219381497723,0.3691207205696743,0.3724258617549482,0.3936916235029841,0.6274485026701268,0.462354814328706,0.45433317671819184
4,scaffold,maccs,rf_reg,0.03654028099298981,0.19115512285311584,0.13798468319325125,0.9348331543340496,0.47301836564404115,0.6877633064100186,0.5315266869302198,0.28391274455208115,0.3544764420494284,0.5953792422056956,0.4464191754712301,0.4527724237836954
3,scaffold,morgan,xgb_reg,0.006668975796292615,0.08166379734186144,0.04484355782263104,0.9888599401552717,0.3517146586462274,0.5930553588377964,0.4250650459140211,0.18908131110673687,0.3964807612974735,0.629667182960549,0.4354893733258012,0.4504673592378188
4,scaffold,maccs,lgbm_reg,0.007666427743506657,0.0875581392190735,0.04395616044390447,0.9863275021430157,0.5343157251286109,0.7309690315797318,0.5519114585660938,0.19111664802051098,0.3572467877922222,0.5977012529618975,0.4305190898807131,0.4484956668366179
1,scaffold,descriptors_basic,svm_reg,0.24841733976870642,0.4984148269952514,0.3489179852640242,0.5728972223564315,0.28995951475209825,0.5384788897924395,0.43706174084060045,0.42300702807365453,0.35604918007635,0.596698567181412,0.4686257632839481,0.4369567671228066
4,scaffold,morgan,xgb_reg,0.007460773273615857,0.08637576786122285,0.05608244121941738,0.9866942714380427,0.3522645384882873,0.5935187768624404,0.4644093678306545,0.46671807084223904,0.3652411701840635,0.6043518595851787,0.42406117157952394,0.43615423598061875
4,scaffold,descriptors_basic,svm_reg,0.23193217966439988,0.48159337585186934,0.3413265818167714,0.5863663839898469,0.470837911416578,0.6861762976207922,0.5587800734103571,0.2872136639175439,0.36599040493860047,0.604971408364561,0.43243046379367023,0.43499759517150927
4,scaffold,maccs,svm_reg,0.10857951111171053,0.3295140529806135,0.21560292880991203,0.8063566001460505,0.44279133490545103,0.6654256794755151,0.5079216972416822,0.3296724719835219,0.3687303751336294,0.6072317310003071,0.44078239707401107,0.4307677308678004
2,scaffold,descriptors_basic,svm_reg,0.2386613234220059,0.48852975694629486,0.3420712737692773,0.5988703172391674,0.3843376877586565,0.6199497461558127,0.47753064100867004,0.25962093485797055,0.2910734845170827,0.5395122654000395,0.4234854726205893,0.4270614012098778
4,scaffold,descriptors_basic,rf_reg,0.03774226322006397,0.19427368123362457,0.13601619175757598,0.9326895093440183,0.40944367485251193,0.639877859323568,0.5162145887681158,0.38015641953681745,0.3712006100065671,0.6092623490800717,0.4223468556547618,0.42695427394415464
1,scaffold,descriptors_basic,ridge,0.3547775971937797,0.5956320988611844,0.4630394009190299,0.39003252611812056,0.2946274173938955,0.5427959261028913,0.43446510739662225,0.41371832782094486,0.3634404263786245,0.6028602046732099,0.47027199027195504,0.4252685188529136
4,scaffold,descriptors_basic,ridge,0.333168224887269,0.5772072633701598,0.4452753672370589,0.40581950379109955,0.4869923068383495,0.6978483408580617,0.5835892227211983,0.262758045444366,0.37302337160924826,0.6107563930154545,0.4797222731683148,0.4241403622266695
3,scaffold,descriptors_basic,ridge,0.37742165044887777,0.6143465231031081,0.4784529169942581,0.3695434049957169,0.23721751023365023,0.4870498026215083,0.38942548515762243,0.45306768526049535,0.420539156556174,0.648489904744996,0.5057945316601223,0.4171217980667067
3,scaffold,morgan,lgbm_reg,0.008770072370249701,0.09364866454066337,0.05269186421056719,0.9853502045844142,0.3320624382245178,0.5762485906486173,0.38564977380293486,0.2343917706694807,0.42123455692577383,0.6490258522784542,0.45240310865392236,0.4161579550791109
4,scaffold,morgan,svm_reg,0.06597224250122699,0.25685062293330535,0.15976746732286223,0.8823434623795336,0.33998423087955204,0.5830816674185119,0.4518828061942855,0.4853088326610159,0.38188631015795677,0.6179695058479477,0.43352288680957507,0.410458086608795
