seed,split_type,feature,model_name,train_auc,train_accuracy,train_f1,val_auc,val_accuracy,val_f1,test_auc,test_accuracy,test_f1
0,scaffold,descriptors_basic,lgbm,0.9998018696268212,0.9912304741024939,0.9939554212315829,0.9639609852868243,0.9074074074074074,0.9340866290018832,0.95426796253181,0.9325153374233128,0.9569471624266145
0,scaffold,descriptors_basic,rf,0.9995375701185465,0.9912304741024939,0.9939278937381404,0.9687221028269135,0.917989417989418,0.9426987060998152,0.9541935134549786,0.9325153374233128,0.9573643410852714
0,scaffold,descriptors_basic,xgb,0.9997996074341683,0.9912304741024939,0.9939577039274925,0.9631013390643081,0.8994708994708994,0.9291044776119403,0.9445083653689966,0.9340490797546013,0.9582118561710399
0,scaffold,morgan,rf,0.999554159531334,0.9912304741024939,0.9939278937381404,0.9616796164655315,0.9126984126984127,0.9394495412844037,0.9640614001840924,0.9340490797546013,0.9585342333654774
0,scaffold,morgan,xgb,0.997767027335582,0.9813647574677994,0.9872036130974784,0.9446520085964623,0.9021164021164021,0.9313543599257885,0.9627145487032325,0.9309815950920245,0.9559255631733594
0,scaffold,morgan,lgbm,0.9998018696268212,0.9912304741024939,0.9939668174962293,0.9484542899652836,0.9047619047619048,0.933579335793358,0.95426796253181,0.9401840490797546,0.9622458857696031
1,scaffold,descriptors_basic,rf,0.9994368791779931,0.9917208752217622,0.9941715237302248,0.9523967640666505,0.916083916083916,0.9457831325301205,0.8317192122781065,0.8467741935483871,0.9085910652920962
1,scaffold,descriptors_basic,xgb,0.9998228359918621,0.9917208752217622,0.9941980936593452,0.9559285196812365,0.9067599067599068,0.9390243902439024,0.8298700998520709,0.8387096774193549,0.901685393258427
1,scaffold,descriptors_basic,lgbm,0.9998232634080457,0.9917208752217622,0.99419328079635,0.9539060613378411,0.9114219114219114,0.9422492401215805,0.8173962956114398,0.8433179723502304,0.905160390516039
1,scaffold,morgan,rf,0.9994355969294422,0.9917208752217622,0.9941715237302248,0.9721987442646703,0.9254079254079254,0.9529411764705882,0.8877242048816569,0.8456221198156681,0.9082191780821918
1,scaffold,morgan,lgbm,0.9998232634080456,0.9917208752217622,0.99419328079635,0.9506761651774933,0.9114219114219114,0.9434523809523809,0.8480222201676529,0.8352534562211982,0.8990825688073395
1,scaffold,morgan,xgb,0.9981503564650972,0.9837374334713187,0.9886340152924158,0.9425259599130645,0.9114219114219114,0.9434523809523809,0.8421050604043393,0.8341013824884793,0.8981612446958982
2,scaffold,descriptors_basic,lgbm,0.9998835266187011,0.9934365975321606,0.9954914337240758,0.9165573292514032,0.889487870619946,0.925589836660617,0.962474730458221,0.9338677354709419,0.9565217391304348
2,scaffold,descriptors_basic,rf,0.9995410809287741,0.9931740614334471,0.9953000723065799,0.9288213426634594,0.9110512129380054,0.9405405405405406,0.9619272237196765,0.9278557114228457,0.953125
2,scaffold,descriptors_basic,xgb,0.9998796906690175,0.9934365975321606,0.9954979290473618,0.920529922005977,0.9029649595687331,0.9350180505415162,0.9602425876010782,0.9258517034068137,0.9512516469038208
2,scaffold,morgan,rf,0.9995689787446541,0.9931740614334471,0.9953017708709794,0.9391901742109483,0.889487870619946,0.9250457038391224,0.968444659703504,0.9238476953907816,0.9505208333333334
2,scaffold,morgan,lgbm,0.9998835266187011,0.9934365975321606,0.9955027882712718,0.9378781252277864,0.8787061994609164,0.9168207024029574,0.9561362870619946,0.9198396793587175,0.9476439790575916
2,scaffold,morgan,xgb,0.9985196721448678,0.983985297978472,0.9890661408854633,0.9306254100153072,0.8679245283018868,0.9087523277467412,0.954662230458221,0.9178356713426854,0.9464052287581699
